UNITID,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100751, 2,"R",258,"R",158,"R",100,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2,"R",20,"R",5,"R",15,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",219,"R",139,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1
100751, 3,"R",12,"R",3,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11,"R",3,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1
100751, 7,"R",583,"R",398,"R",185,"R",0,"R",0,"R",0,"R",36,"R",32,"R",4,"R",32,"R",12,"R",20,"R",10,"R",7,"R",3,"R",0,"R",0,"R",0,"R",499,"R",344,"R",155,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",3,"R",3
100751, 8,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751, 9,"R",10,"R",7,"R",3,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
100751,10,"R",251,"R",128,"R",123,"R",0,"R",0,"R",0,"R",23,"R",11,"R",12,"R",13,"R",3,"R",10,"R",10,"R",4,"R",6,"R",0,"R",0,"R",0,"R",177,"R",95,"R",82,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",27,"R",15,"R",12
100751,14,"R",262,"R",136,"R",126,"R",0,"R",0,"R",0,"R",26,"R",13,"R",13,"R",14,"R",4,"R",10,"R",10,"R",4,"R",6,"R",0,"R",0,"R",0,"R",183,"R",99,"R",84,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",28,"R",16,"R",12
100751,15,"R",12,"R",8,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12,"R",8,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751,16,"R",24,"R",14,"R",10,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20,"R",13,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751,17,"R",75,"R",25,"R",50,"R",1,"R",0,"R",1,"R",2,"R",1,"R",1,"R",10,"R",3,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",58,"R",18,"R",40,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1
100751,18,"R",205,"R",90,"R",115,"R",0,"R",0,"R",0,"R",3,"R",1,"R",2,"R",9,"R",4,"R",5,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",182,"R",78,"R",104,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",4,"R",4
