unitid,al01c01,al01c02,al01c04,al02c02,al02c01,al02c04,al04c01,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al07c02,al07c03,al07c04,al08c03,al08c04,al08c01,al04c02,al08c02,bl01,bl02,bl03,bl04,bl05,al01c03,al02c03,al07c01,al03c03,al03c04,al03c01,al03c02,al06c02,al06c03,al06c04,al06c01,genc01,genc02,genc03,genc04,varstrat,h_samp,smplwt,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c01","xl03c02","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
"230038","379","309","18","500","1334","332","462","81","163","242","376","41","79","7","5","2","110","102","516","746","343","","","","","","15","555","197","205","114","","","1354","73","300","142","3272","3635","1085","1110","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"230047","15","5","","3","12","","","2","10","5","2","","","","","","","1","29","1","16","","","","","1","","","20","","","","","35","","2","2","83","62","2","13","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"230092","5","3","","17","40","","20","","","","3","","","","","","","2","8","10","2","","","","","1","","","4","","","","","24","","11","1","78","59","","13","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,10,
"230162","3","2","","6","20","5","3","","1","2","3","","","","","","6","","2","3","1","","","","","1","","5","","","","","","5","","1","","30","20","11","7","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"230171","28","6","","16","48","11","2","","1","2","","1","","1","","","2","","18","6","","","","","","1","","17","5","","","","","32","","11","","103","61","20","23","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"230214","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","1","0","1","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"316585","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","3","0","0","26","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"270566","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","3","0","0","26","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"307473","0","2","2","2","0","2","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","4","0","4","26","O","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"230384","0","1","0","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","2","0","0","0","","","1","0","0","0","4","6","2","3","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"328997","1","2","","3","1","","","","","","","","","","","","","","1","2","","","","","","1","","","","","","","","1","","","","3","8","","","26","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"230418","6","6","0","22","17","16","5","0","1","2","6","0","1","0","0","0","1","2","9","18","12","","","","","","0","14","2","0","0","","","19","0","4","1","42","83","15","24","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"230427","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","1","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
